爱	愛	ai4	ài	yêu; yêu thích
八	八	ba1	bā	tám (số 8)
爸爸	爸爸	ba4ba5	bàba	bố; ba
杯子	杯子	bei1zi5	bēizi	cái cốc; cái ly
北京	北京	Bei3jing1	Běijīng	Bắc Kinh
本	本	ben3	běn	(lượng từ: quyển, cuốn - dùng cho sách vở)
不客气	不客氣	bu2 ke4qi5	bú kèqi	không có gì; đừng khách sáo
不	不	bu4	bù	không (phủ định)
菜	菜	cai4	cài	món ăn; rau
茶	茶	cha2	chá	trà; chè
吃	吃	chi1	chī	ăn
出租车	出租車	chu1zu1che1	chūzūchē	xe taxi
打电话	打電話	da3 dian4hua4	dǎ diànhuà	gọi điện thoại
大	大	da4	dà	to; lớn
的	的	de5	de	(trợ từ sở hữu và định ngữ: của)
点	點	dian3	diǎn	giờ (đúng giờ); chấm; một chút
电脑	電腦	dian4nao3	diànnǎo	máy tính
电视	電視	dian4shi4	diànshì	tivi; truyền hình
电影	電影	dian4ying3	diànyǐng	phim; điện ảnh
东西	東西	dong1xi5	dōngxi	đồ; đồ đạc; thứ
都	都	dou1	dōu	đều; tất cả
读	讀	du2	dú	đọc; học
对不起	對不起	dui4bu5qi3	duìbuqǐ	xin lỗi
多	多	duo1	duō	nhiều
多少	多少	duo1shao5	duōshao	bao nhiêu
儿子	兒子	er2zi5	érzi	con trai
二	二	er4	èr	hai (số 2)
饭店	飯店	fan4dian4	fàndiàn	nhà hàng; khách sạn
飞机	飛機	fei1ji1	fēijī	máy bay
分钟	分鐘	fen1zhong1	fēnzhōng	phút
高兴	高興	gao1xing4	gāoxìng	vui; vui mừng
个	個	ge5	ge	(lượng từ chung: cái, chiếc, người)
工作	工作	gong1zuo4	gōngzuò	công việc; làm việc
狗	狗	gou3	gǒu	con chó
汉语	漢語	Han4yu3	Hànyǔ	tiếng Trung; tiếng Hán
好	好	hao3	hǎo	tốt; khỏe; được
号	號	hao4	hào	số; ngày (trong tháng)
喝	喝	he1	hē	uống
和	和	he2	hé	và; với
很	很	hen3	hěn	rất
后面	后面	hou4mian5	hòumian	phía sau
回	回	hui2	huí	quay về; trở lại; trả lời
