爱	愛	ai4	ài	love
八	八	ba1	bā	eight
爸爸	爸爸	ba4ba5	bàba	Dad
杯子	杯子	bei1zi5	bēizi	cup; glass
北京	北京	Bei3jing1	Běijīng	Beijing
本	本	ben3	běn	measure word for books
不客气	不客氣	bu2 ke4qi5	bú kèqi	you're welcome; don't be polite
不	不	bu4	bù	no; not
菜	菜	cai4	cài	dish (type of food); vegetables
茶	茶	cha2	chá	tea
吃	吃	chi1	chī	eat
出租车	出租車	chu1zu1che1	chūzūchē	taxi; cab
打电话	打電話	da3 dian4hua4	dǎ diànhuà	make a phone call
大	大	da4	dà	big; large
的	的	de5	de	indicates possession, like adding 's to a noun
点	點	dian3	diǎn	a dot; a little; o'clock
电脑	電腦	dian4nao3	diànnǎo	computer
电视	電視	dian4shi4	diànshì	television; TV
电影	電影	dian4ying3	diànyǐng	movie; film
东西	東西	dong1xi5	dōngxi	things; stuff
都	都	dou1	dōu	all; both
读	讀	du2	dú	to read; to study
对不起	對不起	dui4bu5qi3	duìbuqǐ	sorry
多	多	duo1	duō	many
多少	多少	duo1shao5	duōshao	how much?; how many?
儿子	兒子	er2zi5	érzi	son
二	二	er4	èr	two
饭店	飯店	fan4dian4	fàndiàn	restaurant; hotel
飞机	飛機	fei1ji1	fēijī	airplane
分钟	分鐘	fen1zhong1	fēnzhōng	minute; (measure word for time)
高兴	高興	gao1xing4	gāoxìng	happy; glad
个	個	ge5	ge	general measure word
工作	工作	gong1zuo4	gōngzuò	work; a job
狗	狗	gou3	gǒu	dog
汉语	漢語	Han4yu3	Hànyǔ	Chinese language
好	好	hao3	hǎo	good
号	號	hao4	hào	number; day of a month
喝	喝	he1	hē	to drink
和	和	he2	hé	and; with
很	很	hen3	hěn	very; quite
后面	后面	hou4mian5	hòumian	back; behind
回	回	hui2	huí	to return; to reply; to go back
会	會	hui4	huì	know how to
几	幾	ji3	jǐ	how many; several; a few
家	家	jia1	jiā	family; home
叫	叫	jiao4	jiào	to be called
今天	今天	jin1tian1	jīntiān	today
九	九	jiu3	jiǔ	nine
开	開	kai1	kāi	to open; to start; to operate (a vehicle)
看	看	kan4	kàn	see; look at; to watch
看见	看見	kan4jian4	kànjiàn	see; catch sight of
块	塊	kuai4	kuài	lump; piece; sum of money
来	來	lai2	lái	come; arrive; ever since; next
老师	老師	lao3shi1	lǎoshī	teacher
了	了	le5	le	indicates a completed or finished action
冷	冷	leng3	lěng	cold
里	裡	li3	lǐ	inside; Chinese mile (~.5 km)
六	六	liu4	liù	six
妈妈	媽媽	ma1ma5	māma	mom; mum
吗	嗎	ma5	ma	indicates a yes/no question (added to a statement)
买	買	mai3	mǎi	to buy
猫	貓	mao1	māo	cat
没关系	沒關系	mei2 guan1xi5	méi guānxi	it doesn't matter; never mind
没有	沒有	mei2you3	méiyǒu	not have; there is not
米饭	米飯	mi3fan4	mǐfàn	(cooked) rice
明天	明天	ming2tian1	míngtiān	tomorrow
名字	名字	ming2zi5	míngzi	name
哪	哪	na3	nǎa	which; how
哪儿	哪兒	na3r5	nǎr	where? (Beijing accent)
那	那	na4	nà	that; then
呢	呢	ne5	ne	indicates a question; how about...?;
能	能	neng2	néng	can; be able
你	你	ni3	nǐ	you (singular)
年	年	nian2	nián	year
女儿	女兒	nv3'er2	nǚ'ér	daughter
朋友	朋友	peng2you5	péngyou	friend
漂亮	漂亮	piao4liang5	piàoliang	pretty; beautiful
苹果	蘋果	ping2guo3	píngguǒ	apple
七	七	qi1	qī	seven
钱	錢	qian2	qián	money; coin
前面	前面	qian2mian4	qiánmiàn	in front
请	請	qing3	qǐng	please; invite; to treat someone to something
去	去	qu4	qù	go; to leave
热	熱	re4	rè	heat; hot
人	人	ren2	rén	person; man; people
认识	認識	ren4shi5	rènshi	recognize; know (a person)
三	三	san1	sān	three
商店	商店	shang1dian4	shāngdiàn	shop; store
上	上	shang4	shàng	above; up
上午	上午	shang4wu3	shàngwǔ	late morning (before noon)
少	少	shao3	shǎo	few; little
谁	誰	shei2	shéi	who
什么	什麼	shen2me5	shénme	what? (replaces the noun to turn a statement into a question)
十	十	shi2	shí	ten
时候	時候	shi2hou5	shíhou	time
是	是	shi4	shì	be; is; are; am
书	書	shu1	shū	book; letter
水	水	shui3	shuǐ	water
水果	水果	shui3guo3	shuǐguǒ	fruit
睡觉	睡覺	shui4 jiao4	shuì jiào	to sleep; go to bed
说	說	shuo1	shuō	speak
四	四	si4	sì	four
岁	歲	sui4	suì	years old; age
他	他	ta1	tā	he; him
她	她	ta1	tā	she
太	太	tai4	tài	too (much)
天气	天氣	tian1qi4	tiānqì	weather
听	聽	ting1	tīng	listen; hear
同学	同學	tong2xue2	tóngxué	fellow student; schoolmate
喂	喂	wei4	wèi	hello (on the phone)
我	我	wo3	wǒ	I; me
我们	我們	wo3men5	wǒmen	we; us
五	五	wu3	wǔ	five
喜欢	喜歡	xi3huan5	xǐhuan	to like
下	下	xia4	xià	fall; below
下午	下午	xia4wu3	xiàwǔ	afternoon
下雨	下雨	xia4yu3	xiàyǔ	to rain
