爱	愛	ai4	ài	yêu; yêu thích
爱好	愛好	ai4hao4	àihào	sở thích; ưa thích
八	八	ba1	bā	tám (số 8)
爸爸	爸爸	ba4ba5	bàba	bố; ba
吧	吧	ba5	ba	(trợ từ ngữ khí: đề nghị, phỏng đoán)
白	白	bai2	bái	trắng; màu trắng
白天	白天	bai2tian1	báitiān	ban ngày
百	百	bai3	bǎi	trăm (100)
班	班	ban1	bān	lớp (học); ca (làm việc)
半	半	ban4	bàn	nửa; một nửa
半年	半年	ban4nian2	bànnián	nửa năm
半天	半天	ban4tian1	bàntiān	nửa ngày; một hồi lâu
帮	幫	bang1	bāng	giúp; giúp đỡ
帮忙	幫忙	bang1mang2	bāngmáng	giúp đỡ; giúp một tay
包	包	bao1	bāo	gói; bọc; cái túi
包子	包子	bao1zi5	bāozi	bánh bao
杯	杯	bei1	bēi	cái cốc; (lượng từ) ly, cốc
杯子	杯子	bei1zi5	bēizi	cái cốc; cái ly
北	北	bei3	běi	phía bắc; hướng bắc
北边	北邊	bei3bian1	běibiān	phía bắc; mạn bắc
北京	北京	Bei3jing1	Běijīng	Bắc Kinh
本	本	ben3	běn	(lượng từ) quyển, cuốn (sách vở); gốc, vốn
本子	本子	ben3zi5	běnzi	quyển vở; cuốn sổ
比	比	bi3	bǐ	so; so với; tỉ lệ
别	別	bie2	bié	đừng; chớ
别的	別的	bie2de5	biéde	cái khác; khác
别人	別人	bie2ren5	biéren	người khác
病	病	bing4	bìng	bệnh; ốm; mắc bệnh
病人	病人	bing4ren2	bìngrén	người bệnh; bệnh nhân
不大	不大	bu4da4	bùdà	không lớn lắm; không mấy khi
不对	不對	bu4dui4	bùduì	không đúng; sai
不客气	不客氣	bu4ke4qi5	bùkèqi	không có gì; đừng khách sáo
不用	不用	bu4yong4	bùyòng	không cần
不	不	bu4	bù	không (phủ định)
菜	菜	cai4	cài	món ăn; rau
茶	茶	cha2	chá	trà; chè
差	差	cha4	chà	kém; thiếu; khác
常	常	chang2	cháng	thường; hay
常常	常常	chang2chang2	chángcháng	thường xuyên; hay
唱	唱	chang4	chàng	hát
唱歌	唱歌	chang4ge1	chànggē	hát; ca hát
车	車	che1	chē	xe
车票	車票	che1piao4	chēpiào	vé xe
车上	車上	che1shang4	chēshàng	trên xe
车站	車站	che1zhan4	chēzhàn	bến xe; nhà ga
吃	吃	chi1	chī	ăn
吃饭	吃飯	chi1fan4	chīfàn	ăn cơm; dùng bữa
出	出	chu1	chū	ra; đi ra; xảy ra
出来	出來	chu1lai2	chūlái	ra đây; đi ra
出去	出去	chu1qu4	chūqù	đi ra; ra ngoài
穿	穿	chuan1	chuān	mặc; đi (giày); xuyên qua
床	床	chuang2	chuáng	cái giường
次	次	ci4	cì	lần; (lượng từ) lần, lượt
从	從	cong2	cóng	từ; qua
错	錯	cuo4	cuò	sai; nhầm; lỗi
打	打	da3	dǎ	đánh; đập; chơi (bóng)
打车	打車	da3che1	dǎchē	bắt taxi; đi taxi
打电话	打電話	da3dian4hua4	dǎdiànhuà	gọi điện thoại
打开	打開	da3kai1	dǎkāi	mở ra; bật (đèn, máy)
打球	打球	da3qiu2	dǎqiú	chơi bóng; đánh bóng
大	大	da4	dà	to; lớn
大学	大學	da4xue2	dàxué	đại học
大学生	大學生	da4xue2sheng1	dàxuéshēng	sinh viên đại học
到	到	dao4	dào	đến; tới
得到	得到	de2dao4	dédào	có được; nhận được
地	地	de5, di4	de, dì	(trợ từ trạng ngữ: một cách...) | đất; nơi chốn
的	的	de5	de	(trợ từ sở hữu và định ngữ: của)
等	等	deng3	děng	đợi; chờ
地点	地點	di4dian3	dìdiǎn	địa điểm; nơi chốn
地方	地方	di4fang5	dìfang	nơi; chỗ; địa phương
地上	地上	di4shang5	dìshang	trên mặt đất; dưới sàn
地图	地圖	di4tu2	dìtú	bản đồ
弟弟	弟弟	di4di5	dìdi	em trai
第	第	di4	dì	(tiền tố số thứ tự: thứ...)
点	點	dian3	diǎn	giờ (đúng giờ); chấm, điểm; một chút
电	電	dian4	diàn	điện
电话	電話	dian4hua4	diànhuà	điện thoại
电脑	電腦	dian4nao3	diànnǎo	máy tính
电视	電視	dian4shi4	diànshì	tivi; truyền hình
电视机	電視機	dian4shi4ji1	diànshìjī	cái tivi; máy thu hình
