啊	啊	a5	a	(sentence-final particle expressing mild emphasis or exclamation)
爱情	愛情	ai4qing2	àiqíng	romance; love (romantic)
爱人	愛人	ai4ren5	àiren	spouse (PRC); lover (non-PRC)
安静	安靜	an1jing4	ānjìng	quiet; peaceful; calm
安全	安全	an1quan2	ānquán	safe; secure; safety; security
白色	白色	bai2se4	báisè	white; fig. reactionary; anti-communist
班长	班長	ban1zhang3	bānzhǎng	class monitor; squad leader; team leader
办	辦	ban4	bàn	to do; to manage; to handle
办法	辦法	ban4fa3	bànfǎ	means; method; way (of doing sth)
办公室	辦公室	ban4gong1shi4	bàngōngshì	office; business premises; bureau
半夜	半夜	ban4ye4	bànyè	midnight; in the middle of the night
帮助	幫助	bang1zhu4	bāngzhù	assistance; aid; to help; to assist
饱	飽	bao3	bǎo	to eat till full; satisfied
报名	報名	bao4ming2	bàomíng	to sign up; to enter one's name; to apply
报纸	報紙	bao4zhi3	bàozhǐ	newspaper; newsprint
北方	北方	bei3fang1	běifāng	north; the northern part a country; China north of the Yellow River
背	背	bei1, bei4	bēi, bèi	to carry on the back | the back (of a body or object)
比如	比如	bi3ru2	bǐrú	for example; for instance; such as
比如说	比如說	bi3ru2shuo1	bǐrúshuō	for example
笔	筆	bi3	bǐ	pen; pencil; writing brush
笔记	筆記	bi3ji4	bǐjì	to take down (in writing); notes; a type of literature consisting mainly of short sketches
笔记本	筆記本	bi3ji4ben3	bǐjìběn	notebook (stationery); notebook (computing)
必须	必須	bi4xu1	bìxū	to have to; must; compulsory
边	邊	bian1	biān	side; edge; margin
变	變	bian4	biàn	to change; to become different; to transform
变成	變成	bian4cheng2	biànchéng	to change into; to turn into; to become
遍	遍	bian4	biàn	everywhere; all over; classifier for actions: one time
表	表	biao3	biǎo	exterior surface; family relationship via females; to show (one's opinion)
表示	表示	biao3shi4	biǎoshì	to express; to show; to say
不错	不錯	bu4cuo4	bùcuò	correct; right; not bad
不但	不但	bu4dan4	bùdàn	not only (... but also ...)
不够	不夠	bu4gou4	bùgòu	not enough; insufficient; inadequate
不过	不過	bu4guo4	bùguò	only; merely; no more than
不太	不太	bu4tai4	bùtài	Not too
不要	不要	bu4yao4	bùyào	don't!; must not
不好意思	不好意思	bu4hao3yi4si5	bùhǎoyìsi	to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb)
不久	不久	bu4jiu3	bùjiǔ	not long (after); before too long; soon
