挨着	挨著	ai1zhe5	āizhe	sát bên; kề bên
挨	挨	ai2	ái	bị; chịu (đòn, mắng, đói)
挨打	挨打	ai2da3	áidǎ	bị đánh; bị đòn
安检	安檢	an1jian3	ānjiǎn	kiểm tra an ninh
罢工	罷工	ba4gong1	bàgōng	bãi công; đình công
罢了	罷了	ba4le5	bàle	(trợ từ) mà thôi; thế thôi
白领	白領	bai2ling3	báilǐng	nhân viên văn phòng; giới cổ cồn trắng
百分点	百分點	bai3fen1dian3	bǎifēndiǎn	điểm phần trăm
办公	辦公	ban4gong1	bàngōng	làm việc (ở cơ quan); làm việc công
办事处	辦事處	ban4shi4chu4	bànshìchù	văn phòng đại diện; trụ sở giao dịch
办学	辦學	ban4xue2	bànxué	mở trường; điều hành trường học
半决赛	半決賽	ban4jue2sai4	bànjuésài	bán kết
傍晚	傍晚	bang4wan3	bàngwǎn	chập tối; lúc chiều tối
保健	保健	bao3jian4	bǎojiàn	bảo vệ sức khỏe; chăm sóc sức khỏe
报刊	報刊	bao4kan1	bàokān	báo chí; sách báo tạp chí
报考	報考	bao4kao3	bàokǎo	đăng ký dự thi
抱歉	抱歉	bao4qian4	bàoqiàn	xin lỗi; áy náy
暴风雨	暴風雨	bao4feng1yu3	bàofēngyǔ	mưa bão; giông bão
暴力	暴力	bao4li4	bàolì	bạo lực
暴露	暴露	bao4lu4	bàolù	phơi bày; để lộ; bộc lộ
暴雨	暴雨	bao4yu3	bàoyǔ	mưa to; mưa xối xả
爆	爆	bao4	bào	nổ; bùng nổ; xào nhanh lửa to
爆发	爆發	bao4fa1	bàofā	bùng nổ; bùng phát
爆炸	爆炸	bao4zha4	bàozhà	nổ; vụ nổ
悲惨	悲慘	bei1can3	bēicǎn	bi thảm; thê thảm
背心	背心	bei4xin1	bèixīn	áo ba lỗ; áo gi-lê
背着	背著	bei4zhe5	bèizhe	quay lưng lại; giấu giếm; lén lút
被告	被告	bei4gao4	bèigào	bị cáo
奔跑	奔跑	ben1pao3	bēnpǎo	chạy; chạy nhanh
本地	本地	ben3di4	běndì	địa phương; bản địa
本期	本期	ben3qi1	běnqī	kỳ này; số này
本身	本身	ben3shen1	běnshēn	bản thân nó; tự nó
本土	本土	ben3tu3	běntǔ	bản địa; quê hương; đất mẹ
本质	本質	ben3zhi4	běnzhì	bản chất
逼	逼	bi1	bī	ép; bức ép; bắt buộc
笔试	筆試	bi3shi4	bǐshì	thi viết
必将	必將	bi4jiang1	bìjiāng	nhất định sẽ; ắt sẽ
必修	必修	bi4xiu1	bìxiū	bắt buộc (môn học); môn bắt buộc
闭	閉	bi4	bì	đóng; khép; nhắm (mắt)
边缘	邊緣	bian1yuan2	biānyuán	rìa; ven; bờ vực
编制	編製	bian1zhi4	biānzhì	biên soạn; lập (kế hoạch); đan, bện
扁	扁	bian3	biǎn	dẹt; bẹp
变更	變更	bian4geng1	biàngēng	thay đổi; biến đổi
变换	變換	bian4huan4	biànhuàn	biến đổi; chuyển đổi
变形	變形	bian4xing2	biànxíng	biến dạng; méo mó
便	便	bian4	biàn	liền; thì (như 就); tiện
便是	便是	bian4shi4	biànshì	chính là; đúng là
遍地	遍地	bian4di4	biàndì	khắp nơi; đầy khắp
表面上	表面上	biao3mian4shang5	biǎomiànshang	bề ngoài; trên bề mặt
病房	病房	bing4fang2	bìngfáng	phòng bệnh; buồng bệnh
病情	病情	bing4qing2	bìngqíng	bệnh tình; tình trạng bệnh
拨打	撥打	bo1da3	bōdǎ	gọi (điện thoại); bấm số
波动	波動	bo1dong4	bōdòng	biến động; dao động
