挨着	挨著	ai1zhe5	āizhe	near
挨	挨	ai2	ái	to suffer; to endure; to pull through (hard times); to delay; to stall; to play for time; to dawdle
挨打	挨打	ai2da3	áidǎ	to take a beating; to get thrashed; to come under attack
安检	安檢	an1jian3	ānjiǎn	security check (abbr. for 安全检查); to do a security check
罢工	罷工	ba4gong1	bàgōng	a strike; to go on strike
罢了	罷了	ba4le5	bàle	a modal particle indicating (that's all, only, nothing much)
白领	白領	bai2ling3	báilǐng	white-collar; white-collar worker
百分点	百分點	bai3fen1dian3	bǎifēndiǎn	percentage point
办公	辦公	ban4gong1	bàngōng	to handle official business; to work (esp. in an office)
办事处	辦事處	ban4shi4chu4	bànshìchù	office; agency
办学	辦學	ban4xue2	bànxué	to run a school
半决赛	半決賽	ban4jue2sai4	bànjuésài	semifinals
傍晚	傍晚	bang4wan3	bàngwǎn	in the evening; when night falls; towards evening
保健	保健	bao3jian4	bǎojiàn	health protection; health care; to maintain in good health
报刊	報刊	bao4kan1	bàokān	newspapers and periodicals; the press
报考	報考	bao4kao3	bàokǎo	to enter oneself for an examination
抱歉	抱歉	bao4qian4	bàoqiàn	to be sorry; to feel apologetic; sorry!
暴风雨	暴風雨	bao4feng1yu3	bàofēngyǔ	rainstorm; storm; tempest
暴力	暴力	bao4li4	bàolì	violence; force; violent
暴露	暴露	bao4lu4	bàolù	to expose; to reveal; to lay bare
暴雨	暴雨	bao4yu3	bàoyǔ	torrential rain; rainstorm
爆	爆	bao4	bào	to explode or burst; to quick fry or quick boil
爆发	爆發	bao4fa1	bàofā	to break out; to erupt; to explode
爆炸	爆炸	bao4zha4	bàozhà	explosion; to explode; to blow up
悲惨	悲慘	bei1can3	bēicǎn	miserable; tragic
背心	背心	bei4xin1	bèixīn	sleeveless garment (vest, waistcoat, singlet, tank top etc)
背着	背著	bei4zhe5	bèizhe	turning one's back to (sth or sb); keeping sth secret from (sb); keeping (one's hands) behind one's back
被告	被告	bei4gao4	bèigào	defendant
奔跑	奔跑	ben1pao3	bēnpǎo	to run
本地	本地	ben3di4	běndì	local; this locality
本期	本期	ben3qi1	běnqī	the current period; this term (usually in finance)
本身	本身	ben3shen1	běnshēn	itself; in itself; per se
本土	本土	ben3tu3	běntǔ	one's native country; native; local
本质	本質	ben3zhi4	běnzhì	essence; nature; innate character
逼	逼	bi1	bī	to force (sb to do sth); to compel; to press for
笔试	筆試	bi3shi4	bǐshì	written examination; paper test (for an applicant)
必将	必將	bi4jiang1	bìjiāng	inevitably
必修	必修	bi4xiu1	bìxiū	(of an academic course) required; compulsory
闭	閉	bi4	bì	to close; to stop up; to shut
边缘	邊緣	bian1yuan2	biānyuán	edge; fringe; verge; brink; periphery; marginal; borderline
编制	編製	bian1zhi4	biānzhì	to weave; to plait; to compile
扁	扁	bian3	biǎn	flat; (coll.) to beat (sb) up; old variant of 匾
变更	變更	bian4geng1	biàngēng	to change; to alter; to modify
变换	變換	bian4huan4	biànhuàn	to transform; to convert; to vary
变形	變形	bian4xing2	biànxíng	to become deformed; to change shape; to morph
便	便	bian4	biàn	plain; informal; suitable
便是	便是	bian4shi4	biànshì	(emphasizes that sth is precisely or exactly as stated); precisely; exactly
遍地	遍地	bian4di4	biàndì	everywhere; all over
表面上	表面上	biao3mian4shang5	biǎomiànshang	outwardly; superficially; on the face of it
病房	病房	bing4fang2	bìngfáng	ward (of a hospital); sickroom
病情	病情	bing4qing2	bìngqíng	state of an illness; patient's condition
拨打	撥打	bo1da3	bōdǎ	to call; to dial
波动	波動	bo1dong4	bōdòng	to undulate; to fluctuate; wave motion
波浪	波浪	bo1lang4	bōlàng	wave
播	播	bo1	bō	to sow; to scatter; to spread
不便	不便	bu4bian4	bùbiàn	inconvenient; inappropriate; unsuitable
